Tom;maior;m;7M;7;m7(-5);dim
C;CEG;CD#G;BCEG;A#CEG;A#CD#F#;ACD#F#
C#;C#FG#;C#EG#;CC#FG#;BC#FG#;BC#EG;A#C#EG
D;ADF#;ADF;AC#DF#;ACDF#;CDFG#;BDFG#
D#;A#D#G;A#D#F#;A#DD#G;A#C#D#G;C#D#F#A;CD#F#A
E;BEG#;BEG;BD#EG#;BDEG#;A#DEG;A#C#EG
F;ACF;CFG#;ACEF;ACD#F;BD#FG#;BDFG#
F#;A#C#F#;AC#F#;A#C#FF#;A#C#EF#;ACEF#;ACD#F#
G;BDG;A#DG;BDF#G;BDFG;A#C#FG;A#C#EG
G#;CD#G#;BD#G#;CD#GG#;CD#F#G#;BDF#G#;BDFG#
A;AC#E;ACE;AC#EG#;AC#EG;ACD#G;ACD#F#
A#;A#DF;A#C#F;AA#DF;A#DFG#;A#C#EG#;A#C#EG
B;BD#F#;BDF#;A#BD#F#;ABD#F#;ABDF;BDFG#
